South Africa, 22688, 444.94
Bahamas, 45982, 1462.78
France, 35329, 1282.37
Japan, 42184, 286.84
Ukraine, 2369, 1064.75
Benin, 21006, 112.17
Cuba, 3271, 1481.13
Denmark, 40876, 62.99
Albania, 32831, 1864.72
Liberia, 24368, 1310.84
Algeria, 28615, 1710.34
Bulgaria, 15994, 1167.92
Slovenia, 19792, 1248.41
Djibouti, 44448, 976.67
Chile, 20287, 731.66
Austria, 48904, 1351.51
Argentina, 1731, 410.83
Ethiopia, 19192, 584.0
Belarus, 49405, 122.51
Vanuatu, 20817, 1686.15
Bulgaria, 44349, 819.79
Chile, 33183, 947.41
Taiwan, 3838, 264.64
Marshall Islands, 48640, 1191.45
Tajikistan, 31958, 1321.76
Yemen, 433, 897.09
Djibouti, 26804, 1397.96
Antigua & Deps, 33053, 356.83
Myanmar, 25128, 455.71
Burkina, 2412, 719.49
Taiwan, 27927, 1402.11
China, 13133, 384.39
Armenia, 17559, 1421.57
Comoros, 14934, 535.98
Italy, 35400, 800.93
Belarus, 40865, 1398.88
Iraq, 32928, 1518.75
Bangladesh, 8682, 1182.98
Costa Rica, 26602, 896.26
Dominica, 31971, 976.8
Vanuatu, 22536, 677.37
Germany, 130, 1414.72
Djibouti, 2021, 699.45
Nicaragua, 4085, 1602.93
Colombia, 16742, 911.9
Guatemala, 618, 464.08
Belarus, 10260, 1816.26
Bulgaria, 25533, 1536.16
Oman, 3061, 1944.43
Burkina, 27976, 687.85
Dominica, 32409, 38.69
Cuba, 12530, 52.92
Germany, 23371, 216.03
Brazil, 39896, 1042.37
Barbados, 43935, 211.85
Bahamas, 5896, 1498.79
Indonesia, 34987, 24.49
Vietnam, 19836, 226.09
Bahamas, 26359, 1900.59
Cuba, 24283, 1972.61
Dominica, 49196, 95.36
Barbados, 31839, 785.37
Trinidad & Tobago, 37553, 730.7
Bulgaria, 43065, 876.79
Trinidad & Tobago, 44127, 1734.34
Albania, 25757, 1264.02
Kosovo, 46131, 832.28
Tajikistan, 38579, 1677.43
Antigua & Deps, 20939, 1562.02
Yemen, 13959, 901.25
Vanuatu, 49539, 1787.06
Brazil, 49747, 1129.42
San Marino, 8564, 656.79
Taiwan, 46579, 609.95
Ukraine, 11086, 1759.82
Barbados, 49054, 548.68
Georgia, 46044, 433.59
Slovenia, 47409, 1045.49
Myanmar, 6080, 516.69
Iraq, 23808, 979.01
Dominica, 46563, 1410.21
Cuba, 45195, 586.91
Antigua & Deps, 36493, 417.59
Iraq, 39203, 1128.76
Dominica, 37789, 1023.83
Brazil, 20143, 643.72
Slovakia, 3126, 196.05
Congo, 7842, 407.32
Djibouti, 14221, 1122.55
Japan, 46199, 1858.27
Japan, 29756, 349.06
Russian Federation, 36846, 1789.67
Taiwan, 4978, 1481.34
Albania, 34886, 788.21
Antigua & Deps, 13037, 183.04
Dominica, 33875, 1650.42
Costa Rica, 21351, 1082.33
Congo, 37682, 1035.18
Bangladesh, 19938, 1304.56
Slovenia, 29921, 436.78
Oman, 39509, 1077.86
Georgia, 23818, 1876.07
